ClassPrefix,FrameworkType,FlameGraphColorStart,FlameGraphColorEnd,TextColor
System.Net,.NET Network,6197FF,94C9FF,000000
System.Reflection,.NET Reflection,6197FF,94C9FF,000000
System.Runtime,.NET Runtime,6197FF,94C9FF,000000
System.Security,.NET Security,6197FF,94C9FF,000000
System.ServiceModel,.NET WCF,6197FF,94C9FF,000000
System.Text,.NET Text,6197FF,94C9FF,000000
System.Threading,.NET Threading,6197FF,94C9FF,000000
System.Web,.NET ASP.NET,6197FF,94C9FF,000000
System.Web.Mvc,.NET ASP.NET MVC,6197FF,94C9FF,000000
System.Xaml,.NET XAML,6197FF,94C9FF,000000
System.Xml,.NET XML,6197FF,94C9FF,000000
Telerik,Teleric Web Controls,e31414,e34b4b,FFFFFF
weblogic,WebLogic Core,FE5810,FF8754,000000
